mission_id,timestamp,elapsed_min,mission_phase,RPM,MAP_hPa,m_dot_a_kg_s,m_dot_f_kg_s,m_dot_f_bank1_kg_s,m_dot_f_bank2_kg_s,Q_fuel_L_s,AFR_actual,phi_equivalence_ratio,EGT_avg_C,EGT_cyl1_C,EGT_cyl2_C,EGT_cyl3_C,EGT_cyl4_C,Delta_EGT_cross_C,CHT_C,Delta_CHT_ambient_C,Oil_Temp_C,Oil_Pressure_bar,Oil_Viscosity_Pa_s,Ratio_Lube,H_lube,Vib_f0_Hz,Vib_fcam_Hz,Vib_ffire_Hz,Vib_fgear_Hz,Vib_Amp_Total_g,Vib_Amp_f0_g,Vib_Amp_fcam_g,Vib_Amp_ffire_g,Health_Index,injected_fault_type,Rate_of_Rise_CHT_C_per_min,RPM_instability_std
1,2026-01-02 00:26:00,26,Climb,5505.4,914.46,0.04959,0.003874,0.001937,0.001937,0.00528,12.8,1.148,753.3,748.0,758.0,749.8,757.3,10.0,100.67,102.86,82.99,4.275,0.029394,14545077.19,14545077.19,91.76,45.88,183.51,3945.56,0.976,0.381,0.133,0.829,1.0,none,6.64,20.53
1,2026-01-02 00:27:00,27,Cruise_Loiter,5172.6,782.74,0.04034,0.003056,0.001528,0.001528,0.00416,13.2,1.114,740.7,742.7,746.8,735.5,737.8,11.3,87.54,90.03,82.69,4.135,0.029705,13920746.16,13920746.16,86.21,43.1,172.42,3707.02,0.818,0.34,0.125,0.673,1.0,none,-13.13,137.47
1,2026-01-02 00:28:00,28,Cruise_Loiter,5179.5,782.74,0.04057,0.003073,0.001537,0.001537,0.00419,13.2,1.114,740.7,734.0,743.9,731.7,753.1,21.5,81.57,83.22,82.22,4.184,0.030209,13848472.43,13848472.43,86.33,43.16,172.65,3712.01,0.83,0.309,0.121,0.71,1.0,none,-5.97,165.4
1,2026-01-02 00:29:00,29,Cruise_Loiter,5172.4,782.74,0.04067,0.003081,0.00154,0.00154,0.0042,13.2,1.114,740.7,739.5,741.8,746.7,734.8,11.9,81.66,83.6,81.77,4.223,0.030697,13757286.88,13757286.88,86.21,43.1,172.41,3706.88,0.81,0.326,0.138,0.673,1.0,none,0.09,167.39
1,2026-01-02 00:30:00,30,Cruise_Loiter,5211.0,782.74,0.04098,0.003105,0.001552,0.001552,0.00423,13.2,1.114,740.7,732.6,747.8,739.4,742.9,15.2,83.2,85.24,81.41,4.28,0.031103,13759823.88,13759823.88,86.85,43.43,173.7,3734.57,0.776,0.288,0.139,0.643,1.0,none,1.54,144.67
1,2026-01-02 00:31:00,31,Cruise_Loiter,5195.0,782.74,0.04074,0.003086,0.001543,0.001543,0.00421,13.2,1.114,740.7,737.9,745.4,744.1,735.2,10.2,84.11,85.42,81.13,4.3,0.031425,13682907.58,13682907.58,86.58,43.29,173.17,3723.09,0.818,0.332,0.131,0.679,1.0,none,0.91,16.68
1,2026-01-02 00:32:00,32,Cruise_Loiter,5209.1,782.74,0.0409,0.003098,0.001549,0.001549,0.00422,13.2,1.114,740.7,743.0,732.7,753.7,733.4,21.0,85.85,87.76,80.91,4.33,0.031677,13669164.16,13669164.16,86.82,43.41,173.64,3733.2,0.829,0.305,0.114,0.705,1.0,none,1.74,17.27
1,2026-01-02 00:33:00,33,Cruise_Loiter,5213.9,782.74,0.04079,0.00309,0.001545,0.001545,0.00421,13.2,1.114,740.7,742.0,738.6,745.9,736.3,9.5,86.46,87.38,80.76,4.348,0.031853,13651134.08,13651134.08,86.9,43.45,173.8,3736.63,0.8,0.283,0.137,0.678,1.0,none,0.61,17.2
1,2026-01-02 00:34:00,34,Cruise_Loiter,5206.7,782.74,0.04081,0.003092,0.001546,0.001546,0.00421,13.2,1.114,740.7,741.7,741.4,741.5,738.1,3.6,80.86,82.6,80.39,4.384,0.032292,13574661.37,13574661.37,86.78,43.39,173.56,3731.43,0.802,0.332,0.133,0.656,1.0,none,-5.6,7.28
1,2026-01-02 00:35:00,35,Cruise_Loiter,5193.9,782.74,0.04096,0.003103,0.001551,0.001551,0.00422,13.2,1.114,740.7,745.7,742.4,743.4,731.3,14.4,80.09,82.93,79.98,4.42,0.032785,13482955.0,13482955.0,86.56,43.28,173.13,3722.28,0.824,0.33,0.15,0.675,1.0,none,-0.77,8.86
1,2026-01-02 00:36:00,36,Cruise_Loiter,5253.1,782.74,0.0414,0.003136,0.001568,0.001568,0.00427,13.2,1.114,740.7,732.2,747.3,738.2,745.0,15.1,86.04,88.56,79.83,4.471,0.032972,13558495.57,13558495.57,87.55,43.78,175.1,3764.71,0.821,0.341,0.125,0.671,1.0,none,5.95,22.37
1,2026-01-02 00:37:00,37,Cruise_Loiter,5209.6,782.74,0.04086,0.003096,0.001548,0.001548,0.00422,13.2,1.114,740.7,733.7,746.8,742.5,739.6,13.1,82.75,84.65,79.58,4.473,0.033276,13442501.26,13442501.26,86.83,43.41,173.65,3733.58,0.831,0.356,0.145,0.669,1.0,none,-3.29,22.33
1,2026-01-02 00:38:00,38,Cruise_Loiter,5209.2,782.74,0.04106,0.00311,0.001555,0.001555,0.00423,13.2,1.114,740.7,743.1,743.6,737.9,738.2,5.7,83.26,86.25,79.34,4.5,0.03358,13400885.07,13400885.07,86.82,43.41,173.64,3733.28,0.862,0.348,0.143,0.716,1.0,none,0.51,22.51
1,2026-01-02 00:39:00,39,Cruise_Loiter,5215.7,782.74,0.04117,0.003119,0.001559,0.001559,0.00424,13.2,1.114,740.7,741.4,749.2,736.8,735.4,13.8,80.04,83.64,78.98,4.545,0.034044,13351203.06,13351203.06,86.93,43.46,173.86,3737.95,0.82,0.329,0.134,0.676,1.0,none,-3.22,22.09
1,2026-01-02 00:40:00,40,Cruise_Loiter,5163.4,782.74,0.04073,0.003086,0.001543,0.001543,0.0042,13.2,1.114,740.7,742.0,742.3,735.6,742.8,7.2,80.22,83.08,78.67,4.55,0.034448,13209722.41,13209722.41,86.06,43.03,172.11,3700.4,0.81,0.331,0.128,0.655,1.0,none,0.18,31.87
1,2026-01-02 00:41:00,41,Cruise_Loiter,5226.8,782.74,0.04122,0.003123,0.001561,0.001561,0.00425,13.2,1.114,740.7,739.2,742.9,746.1,734.6,11.5,82.53,85.27,78.47,4.612,0.034713,13285297.06,13285297.06,87.11,43.56,174.23,3745.88,0.82,0.335,0.127,0.659,1.0,none,2.31,24.29
1,2026-01-02 00:42:00,42,Cruise_Loiter,5229.7,782.74,0.04117,0.003119,0.001559,0.001559,0.00425,13.2,1.114,740.7,734.0,746.1,739.2,743.4,12.1,79.08,81.63,78.16,4.65,0.035126,13239537.12,13239537.12,87.16,43.58,174.32,3747.98,0.818,0.333,0.144,0.681,1.0,none,-3.45,26.78
1,2026-01-02 00:43:00,43,Cruise_Loiter,5238.5,782.74,0.04142,0.003138,0.001569,0.001569,0.00427,13.2,1.114,740.7,740.9,741.2,739.2,741.5,2.2,84.99,88.49,78.06,4.668,0.03526,13238272.32,13238272.32,87.31,43.65,174.62,3754.27,0.883,0.355,0.127,0.732,1.0,none,5.91,29.88
1,2026-01-02 00:44:00,44,Cruise_Loiter,5181.6,782.74,0.04065,0.00308,0.00154,0.00154,0.0042,13.2,1.114,740.7,737.3,748.2,738.3,738.9,10.9,79.46,81.24,77.82,4.663,0.035595,13100792.26,13100792.26,86.36,43.18,172.72,3713.51,0.813,0.325,0.163,0.662,1.0,none,-5.53,33.32
1,2026-01-02 00:45:00,45,Cruise_Loiter,5206.4,782.74,0.04097,0.003104,0.001552,0.001552,0.00423,13.2,1.114,740.7,734.9,742.7,738.7,746.5,11.6,75.54,77.41,77.44,4.725,0.036116,13082437.32,13082437.32,86.77,43.39,173.55,3731.27,0.819,0.308,0.118,0.687,1.0,none,-3.92,22.83
1,2026-01-02 00:46:00,46,Cruise_Loiter,5187.1,782.74,0.04098,0.003105,0.001552,0.001552,0.00423,13.2,1.114,740.7,742.7,741.2,739.6,739.1,3.6,79.87,82.44,77.23,4.74,0.036416,13015165.4,13015165.4,86.45,43.23,172.9,3717.43,0.826,0.35,0.131,0.682,1.0,none,4.33,25.18
1,2026-01-02 00:47:00,47,Cruise_Loiter,5197.7,782.74,0.04087,0.003096,0.001548,0.001548,0.00422,13.2,1.114,740.7,738.9,745.2,740.3,738.3,7.0,75.34,77.04,76.89,4.789,0.036901,12979119.58,12979119.58,86.63,43.31,173.26,3725.01,0.79,0.317,0.137,0.65,1.0,none,-4.53,22.4
1,2026-01-02 00:48:00,48,Cruise_Loiter,5181.7,782.74,0.04098,0.003104,0.001552,0.001552,0.00423,13.2,1.114,740.7,742.4,741.8,735.4,743.1,7.6,78.48,81.36,76.66,4.81,0.037245,12914197.67,12914197.67,86.36,43.18,172.72,3713.57,0.807,0.312,0.116,0.675,1.0,none,3.14,10.86
1,2026-01-02 00:49:00,49,Cruise_Loiter,5188.3,782.74,0.04103,0.003109,0.001554,0.001554,0.00423,13.2,1.114,740.7,740.5,737.5,742.3,742.4,4.9,82.19,85.64,76.56,4.827,0.037394,12909405.91,12909405.91,86.47,43.24,172.94,3718.25,0.801,0.326,0.122,0.662,1.0,none,3.71,9.79
1,2026-01-02 00:50:00,50,Cruise_Loiter,5148.3,782.74,0.04049,0.003067,0.001534,0.001534,0.00418,13.2,1.114,740.7,742.1,744.3,731.7,744.7,13.0,84.77,86.91,76.6,4.796,0.037334,12847227.8,12847227.8,85.8,42.9,171.61,3689.6,0.787,0.302,0.142,0.648,1.0,none,2.58,18.96
1,2026-01-02 00:51:00,51,Cruise_Loiter,5183.5,782.74,0.04083,0.003093,0.001547,0.001547,0.00421,13.2,1.114,740.7,735.7,741.6,752.6,732.8,19.9,80.4,83.55,76.45,4.839,0.037561,12883345.64,12883345.64,86.39,43.2,172.78,3714.84,0.833,0.306,0.153,0.698,1.0,none,-4.37,18.72
1,2026-01-02 00:52:00,52,Cruise_Loiter,5171.6,782.74,0.04082,0.003093,0.001546,0.001546,0.00421,13.2,1.114,740.7,746.1,736.7,740.6,739.4,9.4,78.77,81.89,76.24,4.858,0.037864,12830925.45,12830925.45,86.19,43.1,172.39,3706.28,0.823,0.289,0.133,0.688,1.0,none,-1.63,15.95
1,2026-01-02 00:53:00,53,Cruise_Loiter,5229.5,782.74,0.0412,0.003121,0.001561,0.001561,0.00425,13.2,1.114,740.7,747.2,743.3,734.0,738.3,13.2,77.14,79.31,76.02,4.926,0.038197,12895674.52,12895674.52,87.16,43.58,174.32,3747.78,0.839,0.301,0.127,0.707,1.0,none,-1.63,29.65
1,2026-01-02 00:54:00,54,Cruise_Loiter,5229.4,782.74,0.04126,0.003126,0.001563,0.001563,0.00426,13.2,1.114,740.7,740.8,743.6,734.3,744.0,9.8,87.52,89.9,76.19,4.903,0.03794,12922265.78,12922265.78,87.16,43.58,174.31,3747.76,0.794,0.254,0.143,0.674,1.0,none,10.38,36.06
1,2026-01-02 00:55:00,55,Cruise_Loiter,5209.6,782.74,0.04075,0.003087,0.001544,0.001544,0.00421,13.2,1.114,740.7,737.2,743.6,740.0,742.0,6.4,84.8,85.99,76.29,4.877,0.037798,12903077.87,12903077.87,86.83,43.41,173.65,3733.53,0.782,0.307,0.141,0.644,1.0,none,-2.72,26.43
1,2026-01-02 00:56:00,56,Cruise_Loiter,5228.1,782.74,0.04111,0.003114,0.001557,0.001557,0.00424,13.2,1.114,740.7,745.8,736.9,738.5,741.6,8.9,81.14,83.7,76.2,4.901,0.03793,12921017.41,12921017.41,87.13,43.57,174.27,3746.79,0.842,0.326,0.139,0.699,1.0,none,-3.66,24.96
1,2026-01-02 00:57:00,57,Cruise_Loiter,5208.3,782.74,0.04095,0.003102,0.001551,0.001551,0.00423,13.2,1.114,740.7,747.3,741.3,740.8,733.3,14.1,83.83,85.66,76.24,4.883,0.037871,12893263.01,12893263.01,86.81,43.4,173.61,3732.63,0.815,0.317,0.136,0.677,1.0,none,2.69,11.01
1,2026-01-02 00:58:00,58,Cruise_Loiter,5204.5,782.74,0.04092,0.0031,0.00155,0.00155,0.00422,13.2,1.114,740.7,742.1,738.6,742.9,739.1,4.4,86.69,89.05,76.36,4.864,0.037682,12906536.49,12906536.49,86.74,43.37,173.48,3729.9,0.808,0.317,0.128,0.658,1.0,none,2.86,11.82
1,2026-01-02 00:59:00,59,Cruise_Loiter,5160.8,782.74,0.04042,0.003062,0.001531,0.001531,0.00417,13.2,1.114,740.7,736.5,742.0,744.4,739.8,7.8,86.4,87.9,76.5,4.818,0.037485,12852439.18,12852439.18,86.01,43.01,172.03,3698.54,0.836,0.29,0.121,0.721,1.0,none,-0.29,24.91
1,2026-01-02 01:00:00,60,Cruise_Loiter,5198.7,782.74,0.04084,0.003094,0.001547,0.001547,0.00421,13.2,1.114,740.7,740.5,743.6,737.7,740.9,5.9,87.39,89.9,76.63,4.825,0.037294,12938040.91,12938040.91,86.64,43.32,173.29,3725.72,0.847,0.324,0.159,0.701,1.0,none,0.99,24.58
1,2026-01-02 01:01:00,61,Cruise_Loiter,5180.8,782.74,0.04077,0.003089,0.001544,0.001544,0.0042,13.2,1.114,740.7,744.3,741.5,737.9,738.9,6.4,79.82,83.11,76.45,4.837,0.037561,12878631.87,12878631.87,86.35,43.17,172.69,3712.88,0.811,0.306,0.127,0.667,1.0,none,-7.57,19.72
1,2026-01-02 01:02:00,62,Cruise_Loiter,5176.2,782.74,0.04063,0.003078,0.001539,0.001539,0.0042,13.2,1.114,740.7,756.3,732.1,731.1,743.2,25.3,85.94,86.99,76.57,4.818,0.037378,12890339.78,12890339.78,86.27,43.13,172.54,3709.58,0.79,0.31,0.148,0.646,1.0,none,6.12,17.65
1,2026-01-02 01:03:00,63,Cruise_Loiter,5222.1,782.74,0.04107,0.003112,0.001556,0.001556,0.00424,13.2,1.114,740.7,737.4,744.0,744.3,737.0,7.3,87.33,90.18,76.68,4.833,0.037213,12987024.82,12987024.82,87.04,43.52,174.07,3742.54,0.812,0.31,0.124,0.68,1.0,none,1.39,23.49
1,2026-01-02 01:04:00,64,Cruise_Loiter,5230.5,782.74,0.04108,0.003112,0.001556,0.001556,0.00424,13.2,1.114,740.7,745.9,743.4,735.5,738.0,10.4,84.64,87.18,76.7,4.836,0.037191,13003834.31,13003834.31,87.18,43.59,174.35,3748.56,0.824,0.299,0.133,0.691,1.0,none,-2.69,24.2
1,2026-01-02 01:05:00,65,Cruise_Loiter,5218.6,782.74,0.04087,0.003096,0.001548,0.001548,0.00422,13.2,1.114,740.7,743.6,741.5,740.6,737.1,6.4,81.05,82.18,76.62,4.839,0.037301,12971397.11,12971397.11,86.98,43.49,173.95,3740.01,0.833,0.306,0.133,0.696,1.0,none,-3.59,25.2
1,2026-01-02 01:06:00,66,Cruise_Loiter,5188.0,782.74,0.04085,0.003095,0.001548,0.001548,0.00421,13.2,1.114,740.7,739.2,742.2,740.0,741.2,3.0,74.71,77.11,76.28,4.864,0.03781,12864824.79,12864824.79,86.47,43.23,172.93,3718.07,0.802,0.284,0.127,0.671,1.0,none,-6.34,23.58
1,2026-01-02 01:07:00,67,Cruise_Loiter,5164.2,782.74,0.04081,0.003091,0.001546,0.001546,0.00421,13.2,1.114,740.7,737.9,743.2,733.9,747.7,13.8,82.7,85.17,76.25,4.852,0.037851,12819671.02,12819671.02,86.07,43.03,172.14,3700.99,0.884,0.317,0.129,0.759,1.0,none,7.99,27.75
1,2026-01-02 01:08:00,68,Cruise_Loiter,5198.9,782.74,0.04092,0.0031,0.00155,0.00155,0.00422,13.2,1.114,740.7,743.7,736.9,745.8,736.3,9.5,79.63,82.15,76.11,4.894,0.038062,12857289.19,12857289.19,86.65,43.32,173.3,3725.89,0.812,0.322,0.151,0.671,1.0,none,-3.07,26.0
1,2026-01-02 01:09:00,69,Cruise_Loiter,5225.4,782.74,0.04106,0.00311,0.001555,0.001555,0.00424,13.2,1.114,740.7,736.6,743.6,743.2,739.3,7.1,81.08,82.46,76.07,4.917,0.038126,12895995.87,12895995.87,87.09,43.54,174.18,3744.87,0.816,0.295,0.116,0.685,1.0,none,1.45,24.56
1,2026-01-02 01:10:00,70,Cruise_Loiter,5147.4,782.74,0.04046,0.003065,0.001532,0.001532,0.00418,13.2,1.114,740.7,740.3,742.7,734.4,745.3,10.9,80.19,81.93,75.99,4.877,0.038254,12749027.22,12749027.22,85.79,42.89,171.58,3688.94,0.762,0.292,0.134,0.627,1.0,none,-0.89,30.33
1,2026-01-02 01:11:00,71,Cruise_Loiter,5174.0,782.74,0.04077,0.003089,0.001544,0.001544,0.00421,13.2,1.114,740.7,737.7,743.0,741.1,741.0,5.3,83.95,86.41,76.03,4.889,0.038195,12800795.98,12800795.98,86.23,43.12,172.47,3708.03,0.785,0.332,0.129,0.629,1.0,none,3.76,30.61
1,2026-01-02 01:12:00,72,Cruise_Loiter,5156.8,782.74,0.04061,0.003077,0.001538,0.001538,0.00419,13.2,1.114,740.7,742.1,736.4,734.2,750.1,15.9,84.16,87.09,76.06,4.874,0.03815,12775963.77,12775963.77,85.95,42.97,171.89,3695.72,0.816,0.324,0.151,0.657,1.0,none,0.21,31.84
1,2026-01-02 01:13:00,73,Cruise_Loiter,5188.1,782.74,0.04081,0.003092,0.001546,0.001546,0.00421,13.2,1.114,740.7,743.5,746.3,737.3,735.6,10.7,84.43,87.01,76.1,4.888,0.038077,12837229.41,12837229.41,86.47,43.23,172.94,3718.17,0.822,0.32,0.127,0.667,1.0,none,0.27,30.62
1,2026-01-02 01:14:00,74,Cruise_Loiter,5183.5,782.74,0.04088,0.003097,0.001549,0.001549,0.00421,13.2,1.114,740.7,746.3,728.3,749.3,738.8,21.1,83.63,87.15,76.09,4.887,0.038097,12827319.62,12827319.62,86.39,43.2,172.78,3714.88,0.782,0.312,0.117,0.643,1.0,none,-0.8,17.4
1,2026-01-02 01:15:00,75,Cruise_Loiter,5207.7,782.74,0.04094,0.003102,0.001551,0.001551,0.00422,13.2,1.114,740.7,741.5,742.6,738.1,740.5,4.5,82.49,84.77,76.07,4.905,0.038122,12866171.85,12866171.85,86.8,43.4,173.59,3732.19,0.852,0.329,0.143,0.721,1.0,none,-1.14,18.7
