t,throttle,altitude_m,airspeed_mps,t_ambient_c,rpm,cht_1,cht_2,cht_3,cht_4,egt_1,egt_2,egt_3,egt_4,oil_temp_c,oil_pressure_bar,ratio_lube,fuel_flow_kg_s,alternator_v,vib_rms_g
47.0,0.311,940.0,22.8,8.9,1973.5,37.3,37.3,37.3,37.3,847.1,847.1,847.1,847.1,34.8,5.48,4129740.905,0.00038,14.2,0.099
48.0,0.32,960.0,23.0,8.8,2000.3,37.1,37.1,37.1,37.1,847.5,847.5,847.5,847.5,34.8,5.5,4145612.602,0.00039,14.2,0.099
49.0,0.329,980.0,23.2,8.6,2027.7,37.0,37.0,37.0,37.0,848.0,848.0,848.0,848.0,34.9,5.5,4149899.513,0.00041,14.2,0.099
50.0,0.339,1000.0,23.3,8.5,2055.6,36.8,36.8,36.8,36.8,848.5,848.5,848.5,848.5,34.9,5.5,4154947.796,0.00042,14.2,0.099
51.0,0.348,1020.0,23.5,8.4,2084.0,36.7,36.7,36.7,36.7,848.9,848.9,848.9,848.9,34.9,5.5,4160781.805,0.00044,14.2,0.099
52.0,0.358,1040.0,23.7,8.2,2112.8,36.6,36.6,36.6,36.6,849.4,849.4,849.4,849.4,35.0,5.5,4167424.605,0.00045,14.2,0.099
53.0,0.367,1060.0,23.8,8.1,2141.9,36.4,36.4,36.4,36.4,849.8,849.8,849.8,849.8,35.0,5.5,4174898.066,0.00047,14.2,0.099
54.0,0.377,1080.0,24.0,8.0,2171.4,36.4,36.4,36.4,36.4,850.3,850.3,850.3,850.3,35.0,5.5,4183222.957,0.00049,14.2,0.099
55.0,0.386,1100.0,24.2,7.9,2201.1,36.3,36.3,36.3,36.3,850.7,850.7,850.7,850.7,35.1,5.5,4192419.03,0.0005,14.2,0.099
56.0,0.396,1120.0,24.3,7.7,2231.1,36.2,36.2,36.2,36.2,851.2,851.2,851.2,851.2,35.1,5.5,4202505.112,0.00052,14.2,0.099
57.0,0.405,1140.0,24.5,7.6,2261.3,36.2,36.2,36.2,36.2,851.6,851.6,851.6,851.6,35.2,5.5,4213499.188,0.00054,14.2,0.099
58.0,0.414,1160.0,24.7,7.5,2291.6,36.1,36.1,36.1,36.1,852.1,852.1,852.1,852.1,35.2,5.5,4225418.479,0.00056,14.2,0.099
59.0,0.424,1180.0,24.8,7.3,2322.1,36.1,36.1,36.1,36.1,852.5,852.5,852.5,852.5,35.3,5.5,4238279.527,0.00058,14.2,0.099
60.0,0.433,1200.0,25.0,7.2,2352.7,36.1,36.1,36.1,36.1,852.9,852.9,852.9,852.9,35.4,5.5,4252098.27,0.00059,14.2,0.099
61.0,0.443,1220.0,25.2,7.1,2383.3,36.1,36.1,36.1,36.1,853.3,853.3,853.3,853.3,35.4,5.5,4266890.113,0.00061,14.2,0.099
62.0,0.452,1240.0,25.3,6.9,2414.0,36.1,36.1,36.1,36.1,853.8,853.8,853.8,853.8,35.5,5.5,4282670.004,0.00063,14.2,0.099
63.0,0.462,1260.0,25.5,6.8,2444.7,36.2,36.2,36.2,36.2,854.2,854.2,854.2,854.2,35.6,5.5,4299452.5,0.00065,14.2,0.099
64.0,0.471,1280.0,25.7,6.7,2475.5,36.2,36.2,36.2,36.2,854.6,854.6,854.6,854.6,35.7,5.5,4317251.833,0.00067,14.2,0.099
65.0,0.481,1300.0,25.8,6.6,2506.2,36.3,36.3,36.3,36.3,855.0,855.0,855.0,855.0,35.8,5.5,4336081.972,0.0007,14.2,0.099
66.0,0.49,1320.0,26.0,6.4,2536.9,36.4,36.4,36.4,36.4,855.4,855.4,855.4,855.4,35.9,5.5,4355956.686,0.00072,14.2,0.099
67.0,0.499,1340.0,26.2,6.3,2567.6,36.5,36.5,36.5,36.5,855.8,855.8,855.8,855.8,36.0,5.5,4376889.595,0.00074,14.2,0.099
68.0,0.509,1360.0,26.3,6.2,2598.2,36.6,36.6,36.6,36.6,856.2,856.2,856.2,856.2,36.1,5.5,4398894.229,0.00076,14.2,0.099
69.0,0.518,1380.0,26.5,6.0,2628.8,36.7,36.7,36.7,36.7,856.6,856.6,856.6,856.6,36.2,5.5,4421984.074,0.00078,14.2,0.099
70.0,0.528,1400.0,26.7,5.9,2659.4,36.8,36.8,36.8,36.8,857.0,857.0,857.0,857.0,36.3,5.5,4446172.624,0.00081,14.2,0.099
71.0,0.537,1420.0,26.8,5.8,2689.8,37.0,37.0,37.0,37.0,857.4,857.4,857.4,857.4,36.4,5.5,4471473.42,0.00083,14.2,0.099
72.0,0.547,1440.0,27.0,5.6,2720.2,37.2,37.2,37.2,37.2,857.8,857.8,857.8,857.8,36.5,5.5,4497900.097,0.00085,14.2,0.099
73.0,0.556,1460.0,27.2,5.5,2750.5,37.3,37.3,37.3,37.3,858.2,858.2,858.2,858.2,36.7,5.5,4525466.416,0.00088,14.2,0.099
74.0,0.566,1480.0,27.3,5.4,2780.7,37.5,37.5,37.5,37.5,858.6,858.6,858.6,858.6,36.8,5.5,4554186.307,0.0009,14.2,0.099
75.0,0.575,1500.0,27.5,5.2,2810.9,37.8,37.8,37.8,37.8,859.0,859.0,859.0,859.0,37.0,5.5,4584073.897,0.00093,14.2,0.099
76.0,0.584,1520.0,27.7,5.1,2840.9,38.0,38.0,38.0,38.0,859.3,859.3,859.3,859.3,37.1,5.5,4615143.54,0.00095,14.2,0.099
77.0,0.594,1540.0,27.8,5.0,2870.9,38.2,38.2,38.2,38.2,859.7,859.7,859.7,859.7,37.2,5.5,4647409.849,0.00098,14.2,0.099
78.0,0.603,1560.0,28.0,4.9,2900.8,38.5,38.5,38.5,38.5,860.5,860.5,860.5,860.5,37.4,5.5,4680887.874,0.00101,14.2,0.099
79.0,0.613,1580.0,28.2,4.7,2930.9,38.8,38.8,38.8,38.8,861.9,861.9,861.9,861.9,37.6,5.5,4715602.526,0.00104,14.2,0.099
80.0,0.622,1600.0,28.3,4.6,2961.4,39.1,39.1,39.1,39.1,863.3,863.3,863.3,863.3,37.7,5.5,4751591.913,0.00107,14.2,0.099
81.0,0.632,1620.0,28.5,4.5,2992.1,39.4,39.4,39.4,39.4,864.7,864.7,864.7,864.7,37.9,5.5,4788894.15,0.0011,14.2,0.099
82.0,0.641,1640.0,28.7,4.3,3023.8,39.7,39.7,39.7,39.7,866.0,866.0,866.0,866.0,38.1,5.5,4827628.674,0.00113,14.2,0.099
83.0,0.651,1660.0,28.8,4.2,3057.9,40.0,40.0,40.0,40.0,867.3,867.3,867.3,867.3,38.2,5.5,4868116.791,0.00118,14.2,0.099
84.0,0.66,1680.0,29.0,4.1,3094.3,40.4,40.4,40.4,40.4,868.5,868.5,868.5,868.5,38.4,5.5,4910563.684,0.00122,14.2,0.099
85.0,0.669,1700.0,29.2,3.9,3133.0,40.8,40.8,40.8,40.8,869.7,869.7,869.7,869.7,38.6,5.5,4955166.451,0.00127,14.2,0.099
86.0,0.679,1720.0,29.3,3.8,3173.7,41.3,41.3,41.3,41.3,870.9,870.9,870.9,870.9,38.8,5.5,5002122.343,0.00132,14.2,0.099
87.0,0.688,1740.0,29.5,3.7,3216.4,41.8,41.8,41.8,41.8,872.0,872.0,872.0,872.0,39.0,5.5,5051629.025,0.00138,14.2,0.099
88.0,0.698,1760.0,29.7,3.6,3260.9,42.3,42.3,42.3,42.3,873.1,873.1,873.1,873.1,39.3,5.5,5103884.748,0.00144,14.2,0.099
89.0,0.707,1780.0,29.8,3.4,3307.1,42.9,42.9,42.9,42.9,874.1,874.1,874.1,874.1,39.5,5.5,5159088.456,0.0015,14.2,0.099
90.0,0.717,1800.0,30.0,3.3,3354.8,43.5,43.5,43.5,43.5,875.1,875.1,875.1,875.1,39.8,5.5,5217439.827,0.00156,14.2,0.099
91.0,0.726,1820.0,30.2,3.2,3403.9,44.2,44.2,44.2,44.2,876.1,876.1,876.1,876.1,40.0,5.5,5279139.26,0.00163,14.2,0.099
92.0,0.736,1840.0,30.3,3.0,3454.2,44.9,44.9,44.9,44.9,877.0,877.0,877.0,877.0,40.3,5.5,5344387.816,0.00169,14.2,0.099
93.0,0.745,1860.0,30.5,2.9,3505.7,45.6,45.6,45.6,45.6,877.9,877.9,877.9,877.9,40.6,5.5,5413387.107,0.00177,14.2,0.099
94.0,0.754,1880.0,30.7,2.8,3558.1,46.4,46.4,46.4,46.4,878.7,878.7,878.7,878.7,40.9,5.5,5486339.149,0.00184,14.2,0.099
95.0,0.764,1900.0,30.8,2.6,3611.5,47.2,47.2,47.2,47.2,879.5,879.5,879.5,879.5,41.2,5.5,5563446.172,0.00192,14.2,0.099
96.0,0.773,1920.0,31.0,2.5,3665.5,48.1,48.1,48.1,48.1,880.3,880.3,880.3,880.3,41.5,5.5,5644910.402,0.002,14.2,0.099
97.0,0.783,1940.0,31.2,2.4,3720.2,49.1,49.1,49.1,49.1,881.0,881.0,881.0,881.0,41.9,5.5,5730933.81,0.00208,14.2,0.099
98.0,0.792,1960.0,31.3,2.3,3775.4,50.0,50.0,50.0,50.0,881.8,881.8,881.8,881.8,42.2,5.5,5821717.836,0.00216,14.2,0.099
99.0,0.802,1980.0,31.5,2.1,3830.9,51.1,51.1,51.1,51.1,882.4,882.4,882.4,882.4,42.6,5.5,5917463.083,0.00225,14.2,0.099
100.0,0.811,2000.0,31.7,2.0,3886.7,52.1,52.1,52.1,52.1,883.1,883.1,883.1,883.1,43.0,5.5,6018368.997,0.00234,14.2,0.099
101.0,0.821,2020.0,31.8,1.9,3942.7,53.3,53.3,53.3,53.3,883.7,883.7,883.7,883.7,43.4,5.5,6124633.517,0.00243,14.2,0.099
102.0,0.83,2040.0,32.0,1.7,3998.6,54.5,54.5,54.5,54.5,884.2,884.2,884.2,884.2,43.8,5.5,6236452.714,0.00252,14.2,0.099
103.0,0.839,2060.0,32.2,1.6,4054.6,55.7,55.7,55.7,55.7,884.8,884.8,884.8,884.8,44.3,5.5,6354020.405,0.00262,14.2,0.099
104.0,0.849,2080.0,32.3,1.5,4110.4,57.0,57.0,57.0,57.0,885.3,885.3,885.3,885.3,44.7,5.5,6477527.755,0.00271,14.2,0.099
105.0,0.858,2100.0,32.5,1.4,4165.9,58.3,58.3,58.3,58.3,885.8,885.8,885.8,885.8,45.2,5.5,6607162.856,0.00281,14.2,0.099
106.0,0.868,2120.0,32.7,1.2,4221.2,59.7,59.7,59.7,59.7,886.3,886.3,886.3,886.3,45.7,5.5,6743110.297,0.00291,14.2,0.099
107.0,0.877,2140.0,32.8,1.1,4276.0,61.1,61.1,61.1,61.1,886.7,886.7,886.7,886.7,46.2,5.5,6885550.709,0.00301,14.2,0.099
108.0,0.887,2160.0,33.0,1.0,4330.4,62.5,62.5,62.5,62.5,887.2,887.2,887.2,887.2,46.7,5.5,7034660.298,0.00311,14.2,0.099
109.0,0.896,2180.0,33.2,0.8,4384.3,64.0,64.0,64.0,64.0,887.6,887.6,887.6,887.6,47.3,5.5,7190610.359,0.00322,14.2,0.099
110.0,0.906,2200.0,33.3,0.7,4437.6,65.6,65.6,65.6,65.6,888.0,888.0,888.0,888.0,47.8,5.5,7353566.775,0.00332,14.2,0.099
111.0,0.915,2220.0,33.5,0.6,4490.2,67.2,67.2,67.2,67.2,888.4,888.4,888.4,888.4,48.4,5.5,7523689.495,0.00342,14.2,0.099
112.0,0.924,2240.0,33.7,0.4,4542.1,68.8,68.8,68.8,68.8,888.8,888.8,888.8,888.8,49.0,5.5,7701132.001,0.00353,14.2,0.099
113.0,0.934,2260.0,33.8,0.3,4593.3,70.4,70.4,70.4,70.4,889.2,889.2,889.2,889.2,49.6,5.5,7886040.751,0.00363,14.2,0.099
114.0,0.943,2280.0,34.0,0.2,4643.8,72.1,72.1,72.1,72.1,889.7,889.7,889.7,889.7,50.2,5.5,8078554.611,0.00374,14.2,0.099
115.0,0.953,2300.0,34.2,0.1,4693.4,73.8,73.8,73.8,73.8,890.1,890.1,890.1,890.1,50.8,5.5,8278804.274,0.00385,14.2,0.099
116.0,0.962,2320.0,34.3,-0.1,4742.2,75.6,75.6,75.6,75.6,890.5,890.5,890.5,890.5,51.5,5.5,8486911.661,0.00395,14.2,0.099
117.0,0.972,2340.0,34.5,-0.2,4790.1,77.4,77.4,77.4,77.4,890.9,890.9,890.9,890.9,52.1,5.5,8702989.312,0.00406,14.2,0.099
118.0,0.981,2360.0,34.7,-0.3,4837.2,79.2,79.2,79.2,79.2,891.4,891.4,891.4,891.4,52.8,5.5,8927139.77,0.00416,14.2,0.099
119.0,0.991,2380.0,34.8,-0.5,4883.3,81.0,81.0,81.0,81.0,891.8,891.8,891.8,891.8,53.5,5.5,9159454.953,0.00427,14.2,0.099
120.0,1.0,2400.0,35.0,-0.6,4928.6,82.8,82.8,82.8,82.8,892.2,892.2,892.2,892.2,54.2,5.5,9400017.957,0.00437,14.2,0.099
121.0,1.0,2420.0,35.2,-0.7,4969.2,84.7,84.7,84.7,84.7,892.0,892.0,892.0,892.0,54.9,5.5,9648529.055,0.00442,14.2,0.099
122.0,1.0,2440.0,35.3,-0.9,5002.3,86.5,86.5,86.5,86.5,891.9,891.9,891.9,891.9,55.6,5.5,9903837.179,0.00446,14.2,0.099
123.0,1.0,2460.0,35.5,-1.0,5027.7,88.2,88.2,88.2,88.2,891.8,891.8,891.8,891.8,56.3,5.5,10164494.646,0.00448,14.2,0.099
124.0,1.0,2480.0,35.7,-1.1,5046.1,89.8,89.8,89.8,89.8,891.7,891.7,891.7,891.7,57.1,5.5,10429062.432,0.00448,14.2,0.099
125.0,1.0,2500.0,35.8,-1.2,5059.0,91.3,91.3,91.3,91.3,891.5,891.5,891.5,891.5,57.8,5.44,10586280.04,0.00449,14.2,0.099
126.0,1.0,2520.0,36.0,-1.4,5067.7,92.8,92.8,92.8,92.8,891.4,891.4,891.4,891.4,58.5,5.32,10604556.739,0.00448,14.2,0.099
127.0,1.0,2540.0,36.2,-1.5,5073.2,94.2,94.2,94.2,94.2,891.3,891.3,891.3,891.3,59.2,5.2,10616064.048,0.00448,14.2,0.099
128.0,1.0,2560.0,36.3,-1.6,5076.2,95.5,95.5,95.5,95.5,891.1,891.1,891.1,891.1,59.9,5.08,10622357.877,0.00447,14.2,0.099
129.0,1.0,2580.0,36.5,-1.8,5077.3,96.7,96.7,96.7,96.7,891.0,891.0,891.0,891.0,60.6,4.96,10624639.675,0.00447,14.2,0.099
130.0,1.0,2600.0,36.7,-1.9,5076.9,97.8,97.8,97.8,97.8,890.9,890.9,890.9,890.9,61.3,4.85,10623835.819,0.00446,14.2,0.099
131.0,1.0,2620.0,36.8,-2.0,5075.4,98.8,98.8,98.8,98.8,890.7,890.7,890.7,890.7,61.9,4.74,10620659.826,0.00445,14.2,0.099
132.0,1.0,2640.0,37.0,-2.2,5073.0,99.8,99.8,99.8,99.8,890.6,890.6,890.6,890.6,62.6,4.64,10615660.85,0.00443,14.2,0.099
133.0,1.0,2660.0,37.2,-2.3,5070.0,100.7,100.7,100.7,100.7,890.5,890.5,890.5,890.5,63.2,4.54,10609261.327,0.00442,14.2,0.099
134.0,1.0,2680.0,37.3,-2.4,5066.4,101.6,101.6,101.6,101.6,890.4,890.4,890.4,890.4,63.8,4.44,10601786.102,0.00441,14.2,0.099
135.0,1.0,2700.0,37.5,-2.6,5062.4,102.3,102.3,102.3,102.3,890.2,890.2,890.2,890.2,64.5,4.35,10593484.927,0.0044,14.2,0.099
136.0,1.0,2720.0,37.7,-2.7,5058.2,103.1,103.1,103.1,103.1,890.1,890.1,890.1,890.1,65.1,4.26,10584549.803,0.00439,14.2,0.099
137.0,1.0,2740.0,37.8,-2.8,5053.7,103.7,103.7,103.7,103.7,890.0,890.0,890.0,890.0,65.7,4.18,10575128.331,0.00437,14.2,0.099
138.0,1.0,2760.0,38.0,-2.9,5049.0,104.3,104.3,104.3,104.3,889.8,889.8,889.8,889.8,66.2,4.1,10565333.99,0.00436,14.2,0.099
139.0,1.0,2780.0,38.2,-3.1,5044.2,104.8,104.8,104.8,104.8,889.7,889.7,889.7,889.7,66.8,4.02,10555254.027,0.00435,14.2,0.099
140.0,1.0,2800.0,38.3,-3.2,5039.2,105.3,105.3,105.3,105.3,889.6,889.6,889.6,889.6,67.4,3.95,10544955.539,0.00433,14.2,0.099
141.0,1.0,2820.0,38.5,-3.3,5034.2,105.8,105.8,105.8,105.8,889.4,889.4,889.4,889.4,67.9,3.88,10534490.129,0.00432,14.2,0.099
142.0,1.0,2840.0,38.7,-3.5,5029.2,106.1,106.1,106.1,106.1,889.3,889.3,889.3,889.3,68.5,3.81,10523897.492,0.00431,14.2,0.099
143.0,1.0,2860.0,38.8,-3.6,5024.1,106.5,106.5,106.5,106.5,889.2,889.2,889.2,889.2,69.0,3.75,10513208.174,0.00429,14.2,0.099
144.0,1.0,2880.0,39.0,-3.7,5018.9,106.8,106.8,106.8,106.8,889.1,889.1,889.1,889.1,69.5,3.69,10502445.681,0.00428,14.2,0.099
145.0,1.0,2900.0,39.2,-3.9,5013.8,107.0,107.0,107.0,107.0,888.9,888.9,888.9,888.9,70.0,3.63,10491628.107,0.00427,14.2,0.099
146.0,1.0,2920.0,39.3,-4.0,5008.6,107.2,107.2,107.2,107.2,888.8,888.8,888.8,888.8,70.5,3.57,10480769.383,0.00425,14.2,0.099
147.0,1.0,2940.0,39.5,-4.1,5003.4,107.4,107.4,107.4,107.4,888.7,888.7,888.7,888.7,71.0,3.52,10469880.241,0.00424,14.2,0.099
148.0,1.0,2960.0,39.7,-4.2,4998.1,107.5,107.5,107.5,107.5,888.5,888.5,888.5,888.5,71.4,3.46,10458909.964,0.00423,14.2,0.099
149.0,1.0,2980.0,39.8,-4.4,4992.5,107.6,107.6,107.6,107.6,888.4,888.4,888.4,888.4,71.9,3.41,10447244.973,0.00421,14.2,0.099
150.0,0.65,3000.0,40.0,-4.5,4936.0,107.3,107.3,107.3,107.3,858.5,858.5,858.5,858.5,72.3,3.33,10328836.423,0.00249,14.2,0.099
151.0,0.65,3000.0,40.0,-4.5,4694.0,105.2,105.2,105.2,105.2,858.5,858.5,858.5,858.5,72.6,3.14,9822558.325,0.00226,14.2,0.099
152.0,0.65,3000.0,40.0,-4.5,4493.9,103.1,103.1,103.1,103.1,858.5,858.5,858.5,858.5,72.8,2.99,9403802.933,0.00209,14.2,0.099
153.0,0.65,3000.0,40.0,-4.5,4323.9,101.1,101.1,101.1,101.1,858.5,858.5,858.5,858.5,72.9,2.87,9048052.612,0.00194,14.2,0.099
154.0,0.65,3000.0,40.0,-4.5,4178.2,99.0,99.0,99.0,99.0,858.5,858.5,858.5,858.5,73.0,2.77,8743197.475,0.00182,14.2,0.099
155.0,0.65,3000.0,40.0,-4.5,4052.4,97.0,97.0,97.0,97.0,858.5,858.5,858.5,858.5,73.0,2.68,8480010.337,0.00172,14.2,0.099
156.0,0.65,3000.0,40.0,-4.5,3943.2,95.0,95.0,95.0,95.0,858.5,858.5,858.5,858.5,72.9,2.61,8251336.329,0.00164,14.2,0.099
157.0,0.65,3000.0,40.0,-4.5,3847.7,93.0,93.0,93.0,93.0,858.5,858.5,858.5,858.5,72.9,2.56,8051541.499,0.00156,14.2,0.099
158.0,0.65,3000.0,40.0,-4.5,3763.9,91.1,91.1,91.1,91.1,858.5,858.5,858.5,858.5,72.7,2.51,7876128.725,0.0015,14.2,0.099
159.0,0.65,3000.0,40.0,-4.5,3689.9,89.2,89.2,89.2,89.2,858.5,858.5,858.5,858.5,72.6,2.47,7721464.551,0.00145,14.2,0.099
160.0,0.65,3000.0,40.0,-4.5,3624.5,87.3,87.3,87.3,87.3,858.5,858.5,858.5,858.5,72.4,2.44,7584581.286,0.0014,14.2,0.099
